input,output,meaning,pos,num_cognates
[xcl] հիւծանիմ [san] पिब्दमान [san] पपाद [san] पादयति [hit] 𒁉𒂊𒁕𒀭 [xcl] հետ [xcl] յետ [xcl] ետ [sga] ed [grc] πέδον [hin] पद [lat] (op)pidum [grc] πέδη [lav] pēda [lit] pėdà [grc] πηδόν [lat] pessum [grc] πεζός [lat] pēior [lat] pessimus [lat] expediō [lat] impediō [lat] peccō,*ped-,"to walk, to step, to stumble, to fall",root,23
[san] भरीमन् [grc] φέρετρον [grc] φαρέτρᾱ [san] भरित्र [grc] φέριστος [ave] 𐬠𐬀𐬌𐬭𐬌𐬱𐬙𐬀 [grc] φέρμᾰ [san] भर्मन् [grc] φερνή [xcl] բեռն [lav] bērns [lit] bernas [grc] φέρνιον [txb] preṃtsa [ang] beordor [grc] φέρτρον [lat] forda [grc] φορμός [sqi] barrë [sqi] bark [grc] βάρυκα [lat] fortūna [sga] ad-opair [cym] aberth [bre] aberzh [sqi] bir [xcl] -աւոր [lit] ber̃ždžias [lit] ber̃gždžias [grc] φορεύς [lat] fordus,*bʰer-,"to bear, carry",root,31
[sqi] ku [san] कु,*kú,where?,adv,2
[xcl] երկի- [ell] δι- [ell] δί- [lat] bi- [lat] du- [san] द्वि [sqi] degë,*dwi-,"two, apart, asunder",prefix,7
[sqi] trim [xcl] թոռն [lit] tar̃nas [grc] τέρυ [grc] τέρην [grc] τεράμων [ave] 𐬙𐬀𐬎𐬭𐬎𐬥𐬀 [mid] tarōk [mid] tōrūk [fas] تر [fas] توله [fas] ترانه [lat] tardus [lat] tener [lat] termes,*ter-,"tender, weak, young creature",root,15
[xcl] հայր [hye] հորա [xto] pācar [txb] pācer,*ph₂tḗr,father,noun,8
[xcl] եղբայր [xcl] եղբաւր,*bʰréh₂tēr,brother,noun,2
[xcl] մայր [xcl] մաւր,*méh₂tēr,mother,noun,2
[hit] 𒉈𒆪𒊻 [ell] νυξ [ell] νύκτα [ell] νύχτα [san] नक् [san] नक्तम् [san] नक्ति [ave] 𐬎𐬞𐬀⸱𐬥𐬀𐬑𐬙𐬎𐬭𐬎𐬱𐬎 [lat] nox,*nókʷts,night (or possibly 'evening'),noun,9
[sqi] muaj [sqi] muej [hye] ամիս [lav] mẽnesis [lav] mẽness [lit] mė́nesis [prg] menig [ell] μήνας,*mḗh₁n̥s,"moon, month",noun,9
[sqi] përposh [sqi] poshtë [hit] 𒄊𒀸 [lyc] 𐊓𐊁𐊅𐊁 [xlu] 𒉺𒋫𒀀𒀸 [xcl] ոտն [gle] aníos [gle] síos [gle] thíos [gla] nìos [gla] shìos [gla] sìos [ell] πόδι [lat] pēs [xto] pe [txb] paiyye,*pṓds,foot,noun,18
[sqi] rrënjë [gle] fréamh [gle] préamh [gla] freumh [cym] greddf [sga] frén [grc] ῥίζα [fas] ریشه [lat] radius [lat] rāmus [txb] witsako,*wréh₂ds,root,noun,22
[hit] 𒄩𒀸𒋼𒅕𒍝 [hye] աստղ [lat] stēlla [xto] śre [xto] śren̄ [txb] ścirye,*h₂stḗr,star,noun,6
[sqi] kërth [sqi] kërthizë [hit] 𒆠𒅕 [lyc] 𐊋𐊕𐊆𐊅𐊁 [pal] 𒅗𒀀𒅈𒋾 [hye] սիրտ [ell] καρδιά [xto] kri [txb] *käryā-,*ḱḗr,heart,noun,12
[hit] 𒇻𒅖 [lyc] 𐊜𐊀𐊇𐊙 [grc] κῶας [grc] ὄϊς [grc] οἶς [txb] awi,*h₂ówis,sheep,noun,7
[sqi] emër [sqi] êmën [hit] 𒆷𒀀𒈠𒀭 [xlu] /alaman‑/ [xlu] 𔐓𔓇𔒅 [xlu] 𔐓𔕦𔒅 [xlu] 𔐓𔓊𔒅 [xlu] 𔗸𔒅 [lyc] 𐊀𐊍𐊙𐊎𐊀 [hye] անուն [hye] անում [lat] nōmen [xto] ñom [txb] ñem,*h₁nómn̥,name,noun,23
[xcl] ցամաք,*dʰéǵʰōm,earth,noun,1
[cym] gwst [gle] gus [cel] gussou [lat] gustus,*ǵéwstus,taste,noun,6
[xcl] մաւր [san] मर्यादा,*móri,"sea, standing water",noun,2
[hit] 𒋫𒊒 [hit] 𒋫𒀀𒊒 [xlu] 𒋫𒀀𒊒 [xcl] տարր [xto] or [txb] or [txb] ārwa,*dóru,tree,noun,7
[grc] ἧμᾰ [lat] sēmen,*séh₁mn̥,seed,noun,2
[xlu] 𒉿𒈾𒀜𒋾𒅖 [hye] կին,*gʷḗn,woman,noun,2
[sqi] ve [prg] widdewū [lat] viduus [lat] vidua,*h₁widʰéwh₂,widow,noun,6
[hit] 𒆪𒉿𒀸 [hit] 𒆪𒉿𒈾𒀭 [xlu] 𔑬𔗵𔗬 [hye] շուն [xcl] սկունդ [ell] κύων [lat] canēs [lat] canis,*ḱwṓ,dog,noun,8
[hye] ատամ,*h₃dónts,tooth,noun,1
[xcl] լեզու,*dn̥ǵʰwéh₂s,tongue,noun,1
[xcl] արտ [xcl] ագարակ,*h₂éǵros,"field, pasturage",noun,2
[sqi] neth [hye] նստել,*nisdós,nest,noun,2
[hye] գործ [lav] var̂za [lit] váržas [ave] 𐬬𐬀𐬭𐬆𐬰𐬆𐬨 [xto] wark,*wérǵom,work,noun,5
[hit] 𒄿𒌑𒃷 [hye] լուծ [grc] ζυγόν [ell] ζυγός [grc] δυγός [xto] yokäm,*yugóm,yoke,noun,6
[hit] 𒉈𒂊𒁉𒅖 [lyc] 𐊗𐊀𐊂𐊀𐊛𐊀𐊈𐊀 [xlu] 𒋫𒀊𒉺𒀸𒊭 [bre] neñv [cym] nef [gle] neamh [gla] nèamh [ell] νέφος [san] नभस् [ave] 𐬥𐬀𐬠𐬀𐬵 [hye] նամ,*nébʰos,"cloud, mist, moisture",noun,11
[hit] 𒋠𒀸 [grc] λῆνος [lat] lāna,*h₂wĺ̥h₁neh₂,wool,noun,3
[lat] tenuis,*ténh₂us,thin,adj,1
[xcl] լնում [xcl] յղի,*pl̥h₁nós,full,adj,2
[hit] 𒊭𒉌 [hye] մի [hye] մը [sqi] një [grc] μία,*sḗm,one,num,5
[hit] tri- [lyc] 𐊗𐊕𐊁𐊆 [xlu] 𔑰𔖱𔓯 [hye] երեք,*tréyes,three,num,4
[lyc] 𐊗𐊁𐊗𐊁𐊕𐊆 [hye] չորս [xcl] քառ,*kʷetwóres,four,num,3
[xlu] 𒉺𒀭𒋫 [hye] հինգ,*pénkʷe,"five, hand (older)",num,2
[hye] վեց [xto] ṣäk [txb] ṣkas,*swéḱs,six,num,3
[hit] šipta- [sqi] shtatë [hye] յոթ [xto] ṣpät [txb] ṣukt,*septḿ̥,seven,num,5
[lyc] 𐊀𐊆𐊗𐊙𐊗𐊀 [hye] ութ [xto] okät [txb] okt,*oḱtṓw,eight,num,4
[lyc] 𐊏𐊒𐊏𐊗𐊀𐊗𐊀 [hye] ինը,*h₁néwn̥,nine,num,2
[hye] տասը,*déḱm̥,ten,num,1
[hit] 𒋫 [xlu] 𔑢𔗬 [xlu] 𔓯𔖩 [lyc] 𐊋𐊂𐊆 [hye] երկու [hye] երկուս [hye] երկուք [hye] կրկին [xto] wu [xto] we [txb] wi,*dwóh₁,two,num,14
[hye] ես [hye] մենք,*éǵh₂,I (first-person pronoun),pron,4
[hye] դու [hye] քեզ [hye] դուք,*túh₂,"you, thou (second-person singular pronoun)",pron,12
[hye] իր [lit] -s [prg] sien [grc] ἕ [grc] ἑκάς [grc] ἧλιξ [grc] σφεῖς [san] -स्व [lat] sē [lat] suī [lat] sibi,*swé,self (reflexive pronoun),pron,55
[xcl] ի- [xcl] հի- [xcl] ո [xcl] ով [xcl] որ [xcl] քան [grc] τίς [grc] τις [grc] ποῦ [grc] πού [grc] ποῖ [grc] πῇ [grc] πῃ [grc] πῶς [grc] πως [grc] πότε [grc] ποτέ [grc] πόθεν [grc] ὅστις [grc] ἄττα [grc] ἄσσα [grc] ἕκαστος [grc] ποδαπός [grc] πηνίκα [grc] πῆμος [hin] किस [hin] को [ave] 𐬐𐬋 [ave] 𐬗𐬌𐬱 [fas] که [fas] چه [fas] چی [fas] کی [fas] کدام [fas] کیو [pus] څه [lat] quis [lat] quī [lat] quam [lat] quoque [lat] ut [lat] unde [xto] kus [txb] kᵤse,*kʷís,"which, what",det,183
[swe] uv [ave] 𐬎𐬟𐬌𐬌𐬈𐬌𐬨𐬌,*up-,to cry out,root,2
[hit] 𒉿𒀠𒆪𒉿𒀸 [xlu] 𔑪 [xlu] 𒌨𒈤 [lat] lupus [txb] walkwe,*wĺ̥kʷos,wolf,noun,5
[xcl] տուն [xcl] տանուտէր [xcl] տէր [xcl] տիկին [xcl] տիեզերք [grc] δῶ [ave] 𐬛𐬀𐬨,*dṓm,"home, house",noun,7
[hit] 𒄀𒂊𒉡 [xcl] ծունր [ell] γόνατο [lat] genū [xto] kanweṃ [txb] keni [xcl] ծունգք [xcl] ծունկք [grc] γωνία [grc] γνύξ [grc] Γενουσία [ita] Ginosa [ita] Genòse [grc] Γενούσιος [lat] Genusus [lat] Genōsus,*ǵónu,knee,noun,16
[sqi] ari [sqi] arushë [hye] արջ [grc] ἄρκτος [lat] ursus,*h₂ŕ̥tḱos,bear,noun,5
[hye] հավ [hye] հավք,*h₂éwis,bird,noun,2
[hit] 𒁺𒌓𒋻𒊑𒄿𒀀𒋾𒄿𒀀𒀸 [lyc] 𐊋𐊂𐊀𐊗𐊕𐊀 [hye] դուստր,*dʰugh₂tḗr,daughter,noun,3
[xcl] քոյր [grc] ἔορ [xto] ṣar [txb] ṣer,*swésōr,sister,noun,6
[hit] 𒅔𒈾𒊏𒉿𒀭𒋫 [xlu] 𒀭𒅈𒌝𒈪 [xcl] այր [xcl] *h₂n̥rós [lit] nóras [prg] nertien,*h₂nḗr,"man, power, force, vital energy",noun,6
[sqi] pashë [san] पाति [ave] 𐬞𐬁𐬝 [lat] pāscō [grc] πατέομαι [grc] πῶμα [san] पायु [ave] 𐬞𐬁𐬌𐬌𐬎 [xcl] հօտ [xcl] հաւտ [hye] հոտաղ [fas] آباد [old] 𐎠𐎱𐎭𐎠𐎴 [san] पाल [xcl] հաւրան [xcl] պահակ [xcl] պարհ [xcl] պահ [lat] pābulum [grc] Πάν [san] पूषन् [san] पाता [ave] 𐬞𐬁𐬙𐬁 [xcl] հովիւ [xcl] հայիմ [grc] πῶυ [fas] پاییدن [lat] panis [lat] penes [lat] penetrō [lat] penus [lat] Penātes,*peh₂-,"to protect, to ward, to shepherd",root,34
[lit] kãras [mid] kʾlwʾn' [lav] karš [lit] kãrias [prg] kargis [gle] cuire [cym] cordd [non] Herjann [grc] κοίρανος,*ker-,army,root,9
[lav] viêns [lit] vi̇́enas [prg] ains [grc] οἰνός [grc] οἴνη,*h₁óynos,"one, single",num,8
[hye] նոր,*néwos,new,adj,1
[sqi] ve [sqi] vo [sqi] vø [sqi] vö [xcl] ձու [lat] ōvum,*h₂ōwyóm,egg,noun,10
[prg] pelkis [grc] πέλτη [lav] plêve [lit] plėvė̃ [grc] ἐπίπλοον [hit] 𒉺𒆷𒄴𒊭𒀸 [grc] ἐρυσίπελας [lav] plēne [lav] plēnes [lit] plėnė̃ [lit] plėni̇̀s [prg] pleynis [lat] palla [lat] pellis [ell] πέλμα [sqi] plah [lit] palà,*pel-,"to cover, to wrap, skin, hide, cloth",root,42
[grc] -πλός [lat] -plus [grc] πέπλος [gle] alt [gla] alt [san] पुट [grc] -πλάσιος [grc] -πλήσιος [sqi] palë [grc] -πλόος [grc] -πλοῦς,*pel-,to fold,root,11
[grc] πελεμίζω [lat] plāgō [lat] plangō [grc] πλάζω [sqi] plojë [grc] πλαγά [grc] πληγή [lat] plāga [grc] πλήσσω [ell] πλήττω [grc] πλᾶκτρον [grc] πλῆκτρον [lat] plēctō [lat] poliō [lat] (inter)polō [grc] πάλλω [lat] pellō [grc] παλτός [lat] pultō [grc] πόλεμος,*pel-,"to beat, push, drive",root,20
[grc] πάλη [grc] πόλτος [lat] puls [lat] pulvis [lat] pollen [pol] pył [pol] pyłek [pol] pylić [pol] pylenie [pol] pylnik,*pel-,"flour, dust",root,10
[sqi] plesht [san] प्लुषि [pus] ورږه,*plúsis,flea,noun,3
[xcl] ամուրի [grc] ἱέρᾱξ [xto] wir,*wiHrós,"man, husband, warrior, hero",noun,3
[xcl] ուստր [xto] se [txb] soy,*suHyús,alternative form of *suHnús,noun,3
[sga] od- [grc] ὑ- [grc] ὑ,*úd,"upwards, away, out, outward",adv,3
[grc] βελτίων [lat] dēbilis,*bel-,strength,root,2
[grc] μέδω [grc] μέδομαι [grc] μήδομαι [lat] medeor [cym] meddu [sga] midithir [xto] mem [txb] maim [sga] mess [lat] modus [xcl] միտ [ang] metod [ang] meted [ang] metud [ang] meotod [ang] meotud [old] metod [non] mjǫtuðr [grc] μήδεα [sqi] mas [ave] 𐬬𐬍𐬨𐬀𐬛 [old] azdā,*med-,"to measure, to give advice, healing",root,22
[xlu] 𒈪𒀉𒂵𒄿𒈪 [xcl] մեղու [san] मधु [txb] mīt,*médʰu,"honey, honey wine, mead",noun,4
[sqi] për [grc] περί [grc] πέρ [san] परि [fas] پیراـ [lat] per,*péri,around,adv,6
[txb] yel- [lat] voltus [xcl] գեղ,*wel-,"to see, perceive",root,3
[lit] šliti̇̀s,*ḱley-,"to shelter, cover",root,1
[san] अश्रेत् [ave] 𐬥𐬌𐬯𐬭𐬍𐬙𐬀 [lat] cliēns [ave] 𐬥𐬌𐬯𐬭𐬌𐬥𐬀𐬊𐬨𐬌 [grc] κέκλιται [san] शिश्राय [grc] κλίμα [sqi] qye [hye] լինել [hye] լեռ [gle] cliabh [gla] cliabh [cym] cledr [lat] clēmēns [san] श्रि,*ḱley-,"to lean, slope, incline",root,15
[gle] faoi [gla] fo [grc] ὑπό [hin] उप- [txb] spe,*upó,"up, from below",adv,16
[lit] pàs [grc] πός,*pós,"afterwards, post-, by, at",adv,2
[grc] -ός,*-ós,Forms possessive adjectives from nouns.,suffix,1
[grc] -ός [san] -अ,*-ós,"Creates adjectives from verb stems; they may have agentive or patientive meaning., Creates agent nouns from verb stems, denoting someone or something that performs that verb's action., Creates adjectives from verb stems; they may have agentive or patientive meaning., Creates patient nouns from verb stems, denoting something affected by the verb's action.",suffix,2
[lav] ņemt [grc] νέμω [grc] νομή [lat] numerus [grc] Νεμέα [grc] νόμος [grc] νομός [san] नम [grc] νέμεσις [grc] Νέμεσις [sqi] nëmë [sqi] njeh [gle] nimh [gla] nimh,*nem-,"to distribute, to give, to take",root,16
[san] नमयति [ave] 𐬥𐬁𐬨𐬀𐬌𐬌𐬈𐬌𐬙𐬌 [san] नम्,*nem-,to bend,root,3
[lat] ningit [lat] ninguit [san] स्निह्यति [lav] snigt [lit] sni̇̀gti [txb] śiñcatstse* [san] स्निह्,*sneygʷʰ-,to snow,root,7
[sqi] ujë [hit] 𒉿𒀀𒋻 [xlu] 𒉿𒀀𒅈𒊭 [gmy] 𐀄𐀈 [grc] ὕδωρ [san] उदन् [san] वार् [xto] wär [txb] war,*wódr̥,water,noun,9
[sqi] gjithë [lat] singulī [non] sam- [ell] συν [nld] syn- [eng] syn- [eng] sym- [fra] syn- [deu] syn- [ita] sin- [ita] sim- [ita] sil- [pol] syn- [gmy] 𐀓𐀱 [hye] ամեն [hye] ամենա- [grc] ἁμός [grc] ἁμῆ [ell] άμα [san] सम [fas] همه [sga] samail [sga] amal [cym] fel [bre] evel [grc] ὁμαλός [lat] similis [lat] simul [lat] insimul [hye] հանգչել [hye] հանգուցյալ [cym] hefyd [ang] sin- [ang] sine- [old] sin- [goh] sin- [got] 𐍃𐌹𐌽𐍄𐌴𐌹𐌽𐍃 [san] सुमत् [san] स्मत् [lat] simītū,*sem-,"together, one",root,87
[lit] per [lit] per- [lit] par- [lav] par [lav] par- [prg] per [lat] per [lat] per-,*pér,through,adv,14
