input,output,meaning,num_cognates,cognate_set_id
[hin] sira [fas] sar [san] śíraḥ [kur] ser [urd] sir [ave] sarah [oss] sær [oss] sær [pal] sira [gre] ka-ra-a-pi [mid] sar [par] sar [bho] sir [pal] ṣiṣ [yag] sar [kum] sar [bac] saro [sog] sari [bak] sar [del] sær [bal] sar [kur] sar [pun] sir [khw] sarxōt [kur] sar [haw] sara [pas] sar [aln] krye [alb] krietë [vâs] ǰ′i [kur] sar,*k̑er-,,31,53
[pas] aoredal,*ser-,,1,54
"[bul] živeâ [bel] žyc′ [fra] vivre [ell] zō [hin] jīnā [gae] bí beo [ita] vivere [lad] vive [lit] gyvénti [mac] živee [nep] jiunu [fas] zendegī kardan [por] viver [rus] žit' [hbs] živjeti [sin] jīvat venavā [slo] živeti [spa] vivir [wal] viker [xto] śoṣ [txb] śaiṃ [grc] záō [mai] jīnā [urd] jīnā [kas] zində rozon [chu] žiti [prg] giwīt [lav] dzīvot [lat] uīuere [gae] bi beò [san] jīv- [fri] vivi [cat] viure [sga] is béo [ave] juuaiti [xcl] keam [old] jīva [pal] jīvati [mid] beuaff, befaff [pol] żyć [ukr] žiti [slo] žiť [ces] žít [sor] žiwy być [sor] žywy byś [kho] jūtä [gre] záō [pol] zaivĕ [kas] żëc [mid] zīwēd [kur] dɨžit [par] žīwēd [osc] bivus [gre] žō [gre] zō [gre] zō [gre] tzī́ō [lat] dzeivuot [old] vivre [ang] vivre [old] vivir [sar] bivvire [sar] bívere [bho] jīnā [pal] ǰáandu hóonsa [gae] ve bio [bre] béwã, béw- [bre] biwein, biw- [cym] byw [old] żyć [mid] byw [old] žíti [old] žiti [rus] žɪ́tɪ [mac] živòvam [mac] žuwòwam [yag] žū- [slo] živeti [slo] ẛhivéti [mid] bewa [lat] beua [bac] zo [sog] žūt [old] vioure [khw] zīweda [old] viure [gaw] zenta darik [kho] žunu asik [bak] zende bidak [del] zendæ:n [lar] zendegi aku [pas] jwande [gaw] ǰan därūg [raj] jidạ [dal] vívar [pun] jiūṇā [meg] ǵiíri [por] viver [pas] zundu aa [kam] ǰ′üa- [kât] ǰav′e- [kal] ǰẽta ti- [kur] zɨndɨgi a-k(a) [mil] vìf",*gʷi̯eh₃-,,104,72
"[bul] m″ž [bel] mužčyna [ces] muž [nep] mānche [pol] mężczyzna [rus] mužčina [sin] minisā / minihā [chu] mǫžĭ [slo] muž [kas] mohnyu [hbs] muškarac [sor] muž [sor] muski [mac] maž [bho] manai [pal] míiš [old] mąż, mężczy(z)na [old] muž [old] mužĭ [mac] mъ̀nč [mac] mъ̀nč [slo] moški [slo] moški [slo] moṡh [ass] mānuh [gaw] maanuṣ [kho] mooš [gaw] mīš [kât] mânš′a [kal] muša",*men-,,30,76
[fas] gūšt [kur] gušt [kho] ggūśta [kum] gōšt [tat] gušt [maz] gušt [bak] gušt [del] guʃt [lar] gušt [bal] gōšt [kur] gošt [haw] gošt [kur] gūšt [raj] guš [pas] ghwakha [sar] geekht [kur] gūšt,*gʷou̯-,,17,78
"[bel] gara [ces] hora [sor] góra [sor] hora [pol] góra [rus] gora [slo] gora [ukr] gora [san] giríḥ [chu] gora [ave] gairi [kho] ggarä [pol] ďöră [kas] góra [yag] ɣar [old] góra [old] hora, hóra [old] gora [rus] ɣorá [slo] hora [slo] gora [slo] gora [bac] garo [sog] γari [khw] γaricik [pas] ghar [sar] qir",*gʷerH-,,27,80
"[aln] êmën [hyw] anown [hye] anown [ben] nām [bul] ime [bel] ìmâ [cat] nom [ces] jméno [dan] navn [nld] naam [eng] name [far] navn [fle] naem [fra] nom [fri] namme [deu] Name [ell] ónoma [hin] nāma [isl] nafn [gae] ainm [ita] nome [kas] naw [lad] inom [sor] mě [sor] mjeno [mac] ime [mar] nāva [nep] nāum̐, nāma [pol] imię [por] nome [nob] navn [rus] imâ [sar] nomene [sar] númene [hbs] ime [sin] nama [slo] meno [slo] ime [spa] nombre [swe] namn [ukr] ìmâ [wak] nung [wal] nom [chu] imę [hit] lāman [xto] ñom [txb] ñem [lat] nōmen [grc] ónoma [mai] nam [san] nā́ma [kur] nav [urd] nām [prg] emmens [lux] Numm [fri] non [ave] nāman [sga] ainm [oss] nom [oss] nom [xcl] anown [old] nāman [osc] numneís [umb] numem [xlu] ataman- [gau] anuana [sqi] emër [mag] nām [gae] ennym [old] anu [old] namn [elf] nammen [pal] nāma [mid] hanu, hano, hanou, hanoff [fas] nām [kho] nāma [gre] ónoma [pol] jaimą, jaimă [kas] jimiã [mid] nām [par] nām [gre] ónoman [gre] ónoma [gre] nóma [gre] ónoma(n) [ron] nume [nea] nomme [old] nom [ang] nom [fra] non [old] nomne, nombre [pal] nóo [yag] nōm [gae] ainm [bre] ano [bre] hanw [cym] enw [bho] nām [old] imię [mid] enw [old] jmě [old] imę [rus] ɪmn′á [kum] nām [mac] ìm′ḁ [mac] ìm′ḁ [slo] ime [slo] imè [bac] namo [deu] Name [ass] nām [pun] nāⁿ, nām [tat] nom [sog] nām [maz] num [bak] num [lar] nom [bal] nām [kur] nāw [old] noum [meg] númi [old] nom [gaw] naam [pas] noom [haw] nāmē [kur] nām [khw] nāmik [gaw] nām [kho] nam [dal] nam [goh] namo [sar] num [old] noma [mid] name [ang] nama [old] namo [mid] name [old] nafn [got] namo [mid] hanow [lat] hanou, hanaw [nor] namn [por] nome [vâs] n′am [pas] nomə [kam] n′om [kât] n′om [kât] n′um [kal] nâm [kur] nāw [mil] nòm",*Hneh₃-mn̥,,151,82
[kur] teng [par] tang [mid] tang,*temk-,,3,83
"[hyw] nor [hye] nor [ben] natun [bul] nov [bel] novy [cat] nou [ces] nový [dan] ny [nld] nieuw [eng] new [far] nýggjur [fle] nieuw [fra] nouveau [fri] nij [deu] neu [hin] nayā [isl] nýr [gae] nua [ita] nuovo [kas] now [lad] nuef [lit] naũjas [sor] nowy [sor] nowy [mac] nov [mar] navīna [nep] nayām̐ [pol] nowy [por] novo [nob] ny [rus] novyj [sar] nou [sar] nóu [hbs] nov [slo] nový [slo] nov [spa] nuevo [swe] ny [ukr] novij [wal] novê [hit] nēu̯a- [xto] ñu [txb] ñuwe [grc] néos [lat] nouus [chu] novŭ [prg] nawans [lux] nei [san] náva- [urd] nayā [mai] nab [kur] ni [fri] gnûf [ave] nauua [sga] nue [oss] nog [oss] næwæg [xcl] nor [gau] nouiios [gae] noa [old] nouuid [old] nouid [elf] ny [old] nyr [pal] nava [gre] ne-wo [mid] neuez, nevez [kho] nūvarä [xlu] nāu̯a/i- [fas] naw [pol] nüvĕ [kas] nowi [mid] nōg [par] nawāg [umb] nuvis [yag] náwa [ron] nou [nea] nuovo [old] novel [ang] noef [fra] nuvo [old] nuevo [bre] neweż [bre] nëwiż [cym] newydd [gre] néos [mag] nayā [bho] nayā [pal] náawu [old] nowy [mid] newyd [old] nový [old] novyi [rus] novώj [kum] nō [mac] nòf [mac] nòf [slo] nov [slo] nov [bac] nōgo [deu] nöi [ass] nôtun [pun] navāⁿ [tat] nu [sog] nawi [maz] nu [bak] naw [del] now [lar] now [bal] nōkēn [old] nouveou [meg] nou̯ [khw] nǝwik [old] nou [gaw] nunga [kho] nooɣ [pas] nawe [kur] nū [gaw] näm [dal] nuf [goh] niuui [sar] neej [old] nī [mid] niuwe [ang] nīwe [old] niuuui [mid] nieuwe [old] nýr [got] niujis [mid] nowyth [lat] noueth [por] novo [vâs] in′ü [pas] nongu [kam] nu·′ĩ [kât] nu·′i [kât] n′ui [kal] nuŋa [mil] nöf [nor] ny",*neu̯-,,140,86
[fas] šab [kur] šev [oss] æxsæv [oss] æxsævæ [old] xšap [ave] xšap [kho] ṣṣava [san] kṣáp [hit] išpant- [mid] šab [par] šab [yag] xišáp [kum] šaw [bac] xabo [sog] xšapa [tat] šo [maz] šu [bak] šaw [del] ʃow [lar] šow [bal] šap [kur] šaw [kur] šaw [haw] šawē [khw] ǝxxiba [pas] shpa [raj] šaʋe [sar] khob [kho] čhui [kur] šaw,*k⁽ʷ⁾sep-,,30,87
"[ben] ek [bul] edin [bel] adzìn [cat] un [ces] jeden [dan] en [nld] een [eng] one [far] ein [fle] een [fra] un [deu] ein [hin] eka [isl] einn [gae] aon [ita] uno [kas] akh [lad] un [lit] víenas [sor] jaden [sor] jedyn [mac] eden [mar] eka [nep] eka [fas] yek [pol] jeden [por] um [nob] en [rus] odin [sar] unu [sar] unu [hbs] jedan [sin] eka [slo] jeden [slo] en [spa] uno [swe] en [ukr] odin [wak] yiw [wal] on [kur] ēk [mai] ek [urd] ek [san] éka- [chu] jedinŭ [prg] ains [lav] viens [lux] een [lat] ūnus [fri] un [sga] óen [oss] iw [oss] ew [ave] aēuua [old] aiva [gae] un [old] unan, un [fri] ien [old] un [bho] ego [gau] oino- [elf] ien [old] en [pal] eka [mid] un, vn, unan, vnan [pol] jadån [kas] jeden [mid] ēw [par] ēw [yag] ī [lat] vīns [ron] unu [nea] uno [old] un [ang] un [fra] on [old] uno [mag] ek [pal] áak [gae] aon [bre] ûn, unan [bre] inon [cym] un [old] jeden, jaden [mid] un [old] jeden [old] odinŭ [rus] odɪ́n [mac] idìn [mac] idìn [slo] en [slo] eden, en [bac] iōgo [deu] eis [ass] ek [pun] ikk [tat] i [sog] ēw [maz] yek [bak] yek [del] jek [lar] yak [bal] yak [kur] yak [old] un [meg] un [khw] ēw [old] un [gaw] yak [pas] yao [haw] yak [kur] yak [raj] i [gaw] äk [kho] i [dal] joi̯n [goh] ein [sar] iw [old] ēn [mid] ein [ang] ān [old] ên [mid] een [old] einn [got] ains [mid] onen [lat] idn [nor] ein [por] um [pas] ii [kam] ′ev [kât] ′ev [kât] ′ev [kal] ev [saṇ] ′âc̣ [kur] yak [mil] vün",*Hoi̯-,,137,91
[fas] kešīdan [wak] xaṣ̌- [ave] karǝšǝṇti [mid] karšēd [kur] dkēšit [yag] xaš- [sog] xaršt [bak] kešid [kum] tkēša [del] mikeʃe [lar] akeše [maz] kašene [kur] akešıt [bal] dārī kaššīt [tat] mekaše [haw] makēšoš [kur] kīšē [raj] ạkeše [khw] xāššeda [pas] rakhkal [pas] kaš kataau [vâs] -kṣ- [kam] kṣ′oa- [kât] kṣ′o- [kur] a-kīš-ē,*kʷels-,,25,95
[wak] drav- [kur] dɨdɨrit [kur] adūrıt [kur] dürınē [sar] inceevd [kur] a-dür-ē,*?*derbʰ-,,6,114
[fas] tīz [wak] təɣ̌d [nep] tīkho [mai] tejgar [san] tigmá- [oss] cyrǧ [oss] cirǧ [mid] tēz [par] *tēž [pal] tikkha [pal] tíiṇu [kum] ṭēẓ [sog] tǝrγi [maz] tiz [bak] tiz [raj] tiz [del] tiz [lar] tiz [bal] tez [tat] tiz [kur] tiž [kur] tež [kur] tēž [haw] tēž [pas] tera [ave] tižinauuaṇt [khw] čiγr [gaw] tīn [sar] teyz [pun] tikkhā [kho] tukhunu [kur] tēž,*(s)tei̯g-,,32,115
[hit] kappi- / kappai-,*kemb-,,1,121
[ben] dhom̐ẏā [bel] dym [cat] fum [fra] fumée [hin] dhuāṁ [gae] deatach [ita] fumo [kas] daeh [lad] fum [lit] dū́mai [sor] dym [mar] dhūra [nep] dhuvā [fas] dūd [pol] dym [por] fumo [rus] dym [sar] fumu [sar] fumu [hbs] dim [sin] duma [slo] dym [slo] dim [spa] humo [ukr] dim [wak] ðit [wal] foumîre [mai] dhuāṅ [san] dhūmáḥ [chu] dymŭ [lat] fūmus [hit] tuḫḫuu̯ai- / tuḫḫui- [urd] dhuān [kur] dikel [prg] dumis [lav] dūmi [fri] fum [gae] jaagh [sga] dé [pal] dhūma [kho] dumä [pol] dåim [kas] dim [mid] dūd [par] dūd [mag] dhuṅā [pal] dhuumíi [lat] dyumi [ron] fum [nea] fummo [old] fumee [ang] fumee [fra] fmihe [old] fumo [bho] dhuāṁ [old] dym [old] dým [kum] dūr [rus] dωm [slo] dim [slo] dim [old] fum [meg] fum [old] fum [gaw] dum [ass] dhûm̐wā [pun] dʰūⁿāⁿ [gaw] dīmī [pas] diim [maz] di [bak] di [raj] düd [del] di [lar] diz [bal] dūt [kur] dü [tat] dev [kur] dūkaɫ [haw] dūkał [pas] looge [khw] δūd [sar] dheed [por] fumaça [vâs] ül′üm [kam] d′üm [kât] di′um [kât] di′um [kal] düm [saṇ] d′uːm [mil] füm [kur] dükaḷ,*dʰu̯eh₂-,,91,123
"[ben] tārā [cat] estel [dan] stjerne [nld] ster [eng] star [far] stjørna [fle] ster [fra] étoile [fri] stjer [deu] Stern [ell] astéri [hin] tārā [isl] stjarna [ita] stella [kas] taarokh [lad] steila [mar] tārā [nep] tārā [fas] setāreh [por] estrela [nob] stjerne [sar] istella [sar] isteddu [sin] taruva [spa] estrella [swe] stjärna [wak] stor [wal] steûle [hit] ḫašter(a)- [xto] śre [txb] ściriye* [san] (s)tar- [urd] tārā [mai] tārā [grc] astḗr [kur] stēr [hye] astł [lux] Stär [lat] stēlla [fri] stele [ave] star [oss] st'aly [oss] st'alu [xcl] ɑstł [gau] stir- [old] sterenn [old] sseren [elf] stienna [old] stiärna [pal] tārakā [mag] taregan [hyw] astł [mid] sterenn, steren [kho] stārai [gre] astḗr [mid] istar [par] astārag [gre] ástron [gre] ástro [gre] ástro(s) [gre] áštros, áštro(n) [nea] stella [old] estoile [ang] esteille [fra] étaila [old] estrella [ron] stea [pal] tóoru [bre] stered [bre] stired, stiredenn [cym] seren [mid] seren [kum] stārg [yag] sitṓra [deu] Stärn [old] estella [meg] ste̯áu̯ă [old] estela [gaw] taara [pun] tārā [gaw] tār [khw] ǝstārik [sog] stārē [pas] store [pas] staaru [maz] setare [bak] āstāre [raj] estạrạ [del] setɒre [lar] setāra [bal] estār [tat] āsteriye [kur] ḥasāra [kur] awsāra [haw] hasāra [dal] stala [goh] stern [sar] khturj [old] stera [mid] sterne [ang] steorra [old] sterro [mid] sterre [old] stjarna [got] stairno [lat] sterran, steran [nor] stjerne [por] estrela [vâs] išt′ik [ass] tôrā [kam] řâšt′o [kât] řušt′o [kât] št′o [saṇ] ist′ẫ [kur] hasāra [mil] stèla",*h₂ster-,,116,131
"[aln] tre [hyw] erekʿ [hye] erekʿ [ben] tin [bul] tri [bel] try [cat] tres [ces] tři [dan] tre [nld] drie [eng] three [far] tríggir [fle] drie [fra] trois [fri] trije [deu] drei [ell] tría [hin] tīna [isl] þrír [gae] trí [ita] tre [kas] trɛ [lad] trei [lit] trỹs [sor] tśi [sor] tři [mac] tri [mar] tīna [fas] seh [pol] trzy [por] três [nob] tre [rus] tri [sar] tres [sar] tres [hbs] tri [sin] tuna [slo] tri [slo] tri [spa] tres [swe] tre [ukr] tri [wak] truy [wal] treûs [hit] tēri- [xto] tre [txb] trai [grc] treĩs [nep] tīna [mai] tīn [urd] tīn [san] tráyaḥ [chu] trije [lav] trīs [lux] dräi [lat] trēs [gae] trì [fri] trê [ave] ϑraii [sga] trí [oss] ærtæ [oss] ærtæ [xcl] erekʿ [xlu] *tarri(i̯a)- [osc] trís [umb] trif [gau] tri- [sqi] tre [bho] tíni [elf] tri [old] þrir [pal] tayo [kho] drai [mid] tri, try m. [gre] treĩs [pol] tåri [kas] trzë [mid] sē [kur] sē [par] hrē [gre] treis [yag] tiráy [gre] tría [gre] treis [gre] treí [lat] treis [ron] trei [nea] tre [old] trois [ang] treis [fra] trai [old] tres [pal] tróo [mag] tīn [gae] three [bre] tri [bre] tri, tèr [cym] tri [old] trzy [mid] tri [old] tri [old] třie [old] trije [kum] sō [rus] trɪ [mac] trì [mac] trì [slo] tri [slo] try [old] tri* [bac] uarēio [deu] drüü [sog] šē [bak] se [del] se [lar] se [bal] say [kur] se [old] tres [meg] trei̯ [alb] tri [old] tres [kho] troi [gaw] ɬe [gre] ti-ri-* [ass] tini [pun] tiⁿn [gaw] ɬā [khw] šē [pas] dri [pas] tra [raj] se [kur] sē [haw] yare [dal] tra [goh] thrī [sar] ’aroy [old] thrē [mid] drî [ang] þrīe [old] thria [mid] drie [old] þrír [got] þrija [mid] try; teyr [lat] trei [nor] tre [por] três [vâs] tč′i [kam] tr′e [kât] tr′e [kât] tr′e [kal] tre [saṇ] tr′a [kur] sē [mil] tri",*trei̯-,,156,146
[san] kṣip- [pal] khipati,*?*k⁽ʷ⁾su̯ei̯bʰ-,,2,147
[fas] deraxt [mid] draxt [tat] deraxt [bak] derax [del] deræχt [bal] draxt [raj] darax [haw] draxt,*dregʰ-,,8,151
