input,output,meaning,num_cognates,cognate_set_id
[English] march [Catalan] marge [French] marge [Norwegian Bokmål] margin [Norwegian Nynorsk] margin [Middle French] marche [Spanish] marginar [Norwegian Bokmål] marg [Norwegian Nynorsk] marg [Walloon] måtche [Middle English] margyn,*merǵ-,,11,10
[Azerbaijani] may [English] mega [Danish] mega [Portuguese] mega [Translingual] mega- [English] mega- [Czech] mega- [Danish] mega- [Dutch] mega- [Finnish] mega- [German] mega- [Hungarian] mega- [Icelandic] mega- [Indonesian] mega- [Italian] mega- [Latvian] mega- [Norwegian Bokmål] mega- [Norwegian Nynorsk] mega- [Polish] mega- [Portuguese] mega- [Romanian] mega- [Slovak] mega- [Slovene] mega- [Spanish] mega- [Swedish] mega- [Turkish] mega- [Mòcheno] moi [Indonesian] master [English] maxim [English] Mainz [German] Mainz [Portuguese] Mainz [Translingual] Elephas maximus [Greek] μέγας [English] megapolis [Cimbrian] majo [Esperanto] majo [Greek] μεγάλος [Italian] megalopa [Irish] má [Finnish] maksimi [Turkish] mayıs [Scottish Gaelic] magh [Crimean Tatar] maksimal [Indonesian] maksimal [Norwegian Bokmål] maksimal [Norwegian Nynorsk] maksimal [Galician] máximo [Portuguese] máximo [Spanish] máximo [English] Megalopoli [Translingual] Carcharodon megalodon [Tok Pisin] masta [Sranan Tongo] masra [Armenian] մեծ [Tok Pisin] masta kot [French] méga- [French] Mayence [Hungarian] maximális [Catalan] màxim [Polish] maksymalny [Greek] άγαν [Translingual] Megatherium [Translingual] Megaloolithus [Translingual] megalotis [Portuguese] Mogúncia [Translingual] Megaptera [Bulgarian] максимален [Thai] มหาธรรมราชา [Thai] มหาธรรมราชาธิราช [English] -megaly [Thai] มห [Cimbrian] madjo [Translingual] Megalosaurus [English] agastache [Finnish] masteroida [Cimbrian] moajo [Translingual] Megalonyx [Phalura] maaṣṭér [Gamale Kham] मास्तर [Hebrew] מקסימלי [Malayalam] മാഷ് [Italian] megalobatraco [Catalan] Magúncia [Kannada] ಮೇಷ್ಟ್ರು,*méǵh₂s,,85,11
[Danish] June [Norwegian] June [French] jeune [Tok Pisin] Jun [Italian] giovane [Occitan] joen [Old French] juene [Middle French] ieune [English] jawan [Norman] janne [Maori] Hune [Ladin] junëza [Dalmatian] jaun [Sicilian] giùvini [Walloon] djonne [Indonesian] yuwana,*h₂yéwHō,,16,12
[Danish] June [Norwegian] June [Yola] aye [Faroese] oy [Gutnish] oy [Norwegian Bokmål] øy [Norwegian Nynorsk] øy [Tok Pisin] Jun [French] Aurigny [Icelandic] ey [Danish] ø [Norwegian Bokmål] Karmøy [Norwegian Bokmål] Karlsøy [Icelandic] eyja [Faroese] oyggj [Khmer] អាយុ [Thai] อายุ [Swedish] ö [Sinhalese] ආයුබෝවන් [Maori] Hune [Westrobothnian] öy [English] Edenfield [Norwegian Bokmål] ABC-øyene [Norwegian Bokmål] Karlsøya [Norwegian Bokmål] Karlsøya [Lao] ອາຍຸ,*h₂óyu,,26,13
[English] august [Aragonese] agosto [Cimbrian] agosto [Galician] agosto [Ilocano] agosto [Italian] agosto [Ladino] agosto [Old Portuguese] agosto [Portuguese] agosto [San Pedro Amuzgos Amuzgo] agosto [Spanish] agosto [Venetian] agosto [Welsh] Awst [Esperanto] aŭgusto [Hungarian] augusztus [English] August [Scots] August [French] août [Norman] août [Old Armenian] օգոստոս [Greek] Αύγουστος [Pontic Greek] Αύγουστος [Georgian] აგვისტო [Turkish] ağustos [Afrikaans] oes [Yiddish] אויגוסט [Catalan] agost [Dalmatian] agost [Lombard] agost [Occitan] agost [Zoogocho Zapotec] agost [Aromanian] agustu [Sardinian] agustu [Sicilian] agustu [Dutch] oogst [Romansch] avuost [Romansch] avust [Romansch] uost [Lombard] avost [Romansch] avost [Sardinian] austu [Asturian] agostu [Tetum] agostu [Walloon] awousse [Lombard] vost [Corsican] aostu [Aromanian] avgustu [Lombard] agust [Romanian] agust [Ladin] aost [Old French] aost [Cimbrian] agòsten [Neapolitan] austo [Friulian] Avost [Norman] Août [Ilocano] inagosto [Ligurian] agósto [Bourguignon] ooût [Mòcheno] agst [Basque] uzta [Tashelhit] ⵖⵓⵛⵜ [Ottoman Turkish] آغستوس,*h₂ewgostos,,62,14
[Malay] September [Translingual] seven [Bislama] seven [Tok Pisin] seven [Catalan] set [Ladin] set [Lombard] set [Mauritian Creole] set [Michif] set [Old French] set [Piedmontese] set [Romansch] set [Walloon] set [Kalasha] sat [Greek] επτά [French] sept [Norman] sept [Corsican] sette [Italian] sette [Tok Pisin] sevenpela [Dutch] zepto- [English] zetta- [English] zetta- [Asturian] siete [Istriot] siete [Mirandese] siete [Spanish] siete [Indonesian] hepta- [Polish] hepta- [Elfdalian] sju [Norwegian Bokmål] sju [Norwegian Nynorsk] sju [Swedish] sju [Swedish] sju [Romansch] seat [English] septet [Welsh] saith [Icelandic] sjö [Portuguese] Ceuta [Danish] syv [Norwegian Bokmål] syv [Galician] sete [Portuguese] sete [Sardinian] sete [Venetian] sete [Aragonese] siet [Friulian] siet [Romanian] șapte [Norwegian Nynorsk] sjau [Armenian] յոթ [Hindi] सात [Sicilian] setti [Faroese] sjey [Romansch] siat [Istro-Romanian] șåpte [Megleno-Romanian] șapti [Scottish Gaelic] seachd [Afrikaans] sewe [Irish] seacht [Haitian Creole] sèt [Louisiana Creole French] sèt [Occitan] sèt [Assamese] সাত [Bengali] সাত [Ido] sep [Manx] shiaght [Middle Irish] secht [Guinea-Bissau Creole] seti [Kabuverdianu] seti [Old Danish] siu [Old Swedish] siu [Sinhalese] හත [Luxembourgish] siwen [Ligurian] sètte [Irish] heipti- [Tok Pisin] Septemba [Norman] saept [Malay] sapta [Maori] Hepetema [Dalmatian] sapto [Shina] ست [Sindhi] ست [Oriya] ସାତ [English] septuplex [Aromanian] shapti [Emilian] sêt [Gujarati] સાત [Kachchi] સાત [Central Franconian] sibbe [Sylheti] ꠢꠣꠔ [Papiamentu] shete [Kashmiri] سَتھ [Italian] eptaneso [Lombard] sètt [Dutch] Nabben [Norwegian Nynorsk] sjaug [English] siebenbein [Jersey Dutch] zœve [Jersey Dutch] zûve [Jersey Dutch] sœve,*septḿ̥,,100,15
[Translingual] November [Malay] November [Dalmatian] nu [Translingual] nine [English] nine [English] nine [Scots] nine [Ido] non [Ido] non [Danish] ni [Norwegian Bokmål] ni [Norwegian Nynorsk] ni [Corsican] nove [Galician] nove [Italian] nove [Portuguese] nove [French] neuf [Norman] neuf [Turkish] ne [Sardinian] noi [Yola] neen [Yola] neen [Aragonese] nou [Catalan] nou [Asturian] nueve [Spanish] nueve [Old Swedish] nio [Swedish] nio [Swedish] nio [Romansch] nov [Neapolitan] nòve [Mauritian Creole] nef [Esperanto] naŭ [Esperanto] naŭ [Esperanto] naŭ [Icelandic] níu [Guinea-Bissau Creole] novi [Kabuverdianu] novi [Sicilian] novi [Irish] naoi [Scottish Gaelic] naoi [Elfdalian] niu [Romanian] nouă [Tok Pisin] nain [Kalasha] no [Rohingya] no [Occitan] nòu [Faroese] níggju [Sindhi] نو [Mirandese] nuôbe [Sardinian] noe [Ladino] mueve [Bengali] নয় [Afrikaans] nege [Gujarati] નવ [Manx] nuy [Greek] εννιά [Ladin] nuef [Old French] nuef [Walloon] noûf [Haitian Creole] nèf [Louisiana Creole French] nèf [Louisiana Creole French] nèf [Assamese] ন [Romansch] nouv [Tok Pisin] Novemba [Aragonese] nueu [Maori] Noema [Aromanian] noauã [Middle English] nyne [Translingual] novenine [Istriot] gnove [Friulian] nûf [Oriya] ନଅ [English] xenna- [Konkani] णव [Cebuano] nuwebe [Ligurian] nêuve [Azerbaijani] nə [Cebuano] nuybe [Sylheti] ꠘꠄ [Papiamentu] nuebe [Bengali] নারাজ [Kashmiri] نَو [English] xenno- [Romagnol] növ [Bislama] naen [Assamese] নউ [Lombard] neuv [Piedmontese] neuv [Phalura] nawambár [Konkani] णवें [Extremaduran] nuevi [Dhivehi] ނުވަ [Punjabi] ਨੌਂ [English] neunbein [Indonesian] nawa- [Jersey Dutch] nêxe [Louisiana Creole French] nèv,*h₁néwn̥,,99,16
[English] hyponym [Asturian] so [Galician] so [Spanish] so [English] Avesta [French] sombre [Norman] sombre [English] sub- [Catalan] sub- [Galician] sub- [German] sub- [Romanian] sub- [French] selon [English] hypo [German] Hyponym [English] hypophysis [Portuguese] sob [Galician] sombra [Italian] ipofisi [Romanian] subsuoară [Italian] sotterrare [Spanish] zabordar [Asturian] soterrar [Catalan] soterrar [Galician] soterrar [Portuguese] soterrar [Spanish] soterrar [Dutch] hypotensie [German] Hypophyse [French] sombrer [Old French] sulunc [Romanian] sufruncea [Spanish] hipófisis [Irish] hipeacóst [Translingual] hypopitys [Dalmatian] sombreja [Norman] souôs- [Portuguese] hipófise [Hungarian] szub- [Aromanian] sufrãmtseauã [Old Portuguese] soombrar [Norman] s'lon [Aromanian] suiljedz [Bashkir] оҫта [Spanish] chapuzar [Aromanian] sumsoarã [Aromanian] soarã [Kazakh] гипофиз [Italian] ipanzio [Aromanian] sufurtsiau [Avar] устӏар [Tagalog] upang,*upó,,52,17
[Occitan] noun [Asturian] non [Fala] non [Galician] non [Spanish] non [English] not [English] ne [Ido] ne [Scots] ne [Turkish] ne [Phalura] na [Romani] na [Faroese] nei [Icelandic] nei [Norwegian Bokmål] nei [Norwegian Nynorsk] nei [Icelandic] né [English] nay [Danish] nej [Danish] nej [Swedish] nej [Persian] نه [Portuguese] não [Braj] नहीं [Ladin] no [Old Occitan] no [Papiamentu] no [Sranan Tongo] no [Tok Pisin] no [Kabuverdianu] nau [Urdu] نا [Dutch] n- [Yola] naay [Irish] namhaid [Irish] namhaid [Urdu] نہ [Middle Irish] náma [Faroese] neiggj [Friulian] nissun [Korean] 노잼 [Marathi] नाही [Gujarati] ના [Assamese] ন- [Konkani] नू [Assamese] নাই [Bengali] নাই [Chinese] no捽 [Azerbaijani] nə [Korean] ㄴㄴ [Bengali] নারাজ [Sylheti] ꠘꠣ [Elfdalian] näj [Scottish Gaelic] nàmhaid [Scottish Gaelic] nàmhaid [Old Marathi] 𑘡𑘎𑘻 [Kashmiri] नॖ,*ne,,56,18
[English] hour [German] Uhr [Old French] ore [Portuguese] hora [Faroese] ur [Swedish] ur [French] heure [Romansch] ura [Esperanto] horo [Marshallese] awa [Pohnpeian] awa [Tok Pisin] yia [Venetian] óra [Cebuano] oras [Romanian] oră [Albanian] orë [Tsakonian] ούρα [Greek] ώρα [Middle English] houre [Irish] uair [Scottish Gaelic] uair [Middle Irish] úar [Old Irish] úar [Romanian] oară [Romansch] oura [Greek] ώριμος [Telugu] హోర [Burmese] ဟူးရား [Bengali] হোরা [Laz] ორა,*yóh₁r̥,,30,19
[English] pneumonoultramicroscopicsilicovolcanoconiosis [English] conidium [Spanish] neumoconiosis [Italian] otoconio,*kón-,,4,20
[English] fabella [Basque] baba [Aragonese] faba [Asturian] faba [Galician] faba [Mezquital Otomi] aba [Tok Pisin] bin [Friulian] fave [Spanish] haba [English] fava bean [Icelandic] baun [Catalan] fava [Italian] fava [Portuguese] fava [Swedish] böna [Portuguese] favela [Faroese] bøn [Faroese] bøn [Spanish] habichuela [French] fève [Faroese] bøna [Danish] bønne [Norwegian Bokmål] bønne [Norwegian Nynorsk] bønne [Norwegian Nynorsk] baune [Scottish Gaelic] pònair [Welsh] ffa [Dalmatian] fua [Translingual] Faba [Aromanian] fauã [Manx] poanrey,*bʰabʰ-,,31,21
[English] pumpkin [English] pepo [Latin] pepo [Romanian] pepene [Cebuano] pepino [Greek] πεπόνι [Norwegian Nynorsk] koke [Hindi] पकाना [Sardinian] pepone [Romansch] cuschina [Aromanian] piponj [Spanish] pepón [Aromanian] peapini [Marathi] पिकणे [Tagalog] magkusi [Marshallese] baan̄ke [Serbo-Croatian] pipun,*pékʷeti,,17,22
[Norwegian Bokmål] fable [Norwegian Nynorsk] fable [Cia-Cia] bahasa [Dutch] bahasa [Indonesian] bahasa [Malay] bahasa [English] ban [Polish] ban [English] fuel [Isan] ภาษา [Thai] ภาษา [French] feu [Norman] feu [Walloon] feu [Spanish] hogar [English] foyer [Dutch] foyer [French] foyer [Polish] foyer [English] fusil [Italian] fuoco [Neapolitan] fuoco [Romansch] fi [English] banish [English] apophasis [English] apophasis [Old French] fu [Spanish] hablar [English] focaccia [Italian] focaccia [Aragonese] fuego [Old Spanish] fuego [Spanish] fuego [Aromanian] foc [Catalan] foc [Megleno-Romanian] foc [Old Occitan] foc [Romanian] foc [Galician] fogo [Old Portuguese] fogo [Portuguese] fogo [Italian] focolare [Romansch] fia [Hungarian] pogácsa [German] Fabel [Malay] به [Crimean Tatar] fokus [Czech] fokus [Finnish] fokus [Norwegian Bokmål] fokus [Norwegian Nynorsk] fokus [Khmer] ភាសា [Sicilian] fucili [Icelandic] fabúla [Papiamentu] abla [Spanish] fogata [Spanish] hoguera [Lao] ພາສາ [Italian] infuocare [Finnish] fabuloida [Spanish] huego [Greek] φήμη [German] fachen [Italian] focaia [Norwegian Bokmål] fabel [Norwegian Nynorsk] fabel [Sicilian] focu [Punjabi] ਭਾਸ਼ਾ [Irish] fócas [Armenian] բանալ [Romansch] fieu [Dhivehi] ބަސް [Occitan] fuòc [Ladino] avlar [Hungarian] fókusz [Romansch] fö [Romansch] fiac [Romansch] fiug [Galician] fogar [Neapolitan] nfucato [Thai] ภาษาศาสตร์ [Burmese] ဘာသာဗေဒ [Burmese] ဘာသာ [Mon] ဘာသာ [Venetian] fógo [Venetian] fogołaro [Luxembourgish] fuebelen [Ido] fablo [Tarantino] fuèche [Romanian] focar [Romanian] înfoca [Cebuano] pusil [Spanish] hogaza [Asturian] fueu [Bourguignon] faule [Norman] faeu [Dalmatian] fuc [English] Bain [Norman] fouoyi [Cia-Cia] 바하사 [Portuguese] fogueira [Mirandese] fuogo [Friulian] fûc [Chakma] 𑄞𑄌𑄴 [Asturian] fuegu [Greek] περήφανος [Greek] περηφάνια [Friulian] fogolâr [Portuguese] apófase [Portuguese] apófase [English] Bahasa [Tagalog] Bahasa [Pali] bhāsati [Greek] μπουγάτσα [Khün] ᨽᩣᩈᩣ [Lü] ᦘᦱᦉᦱ [Konkani] भास [Portuguese] fogaça [Greek] φουφού [French] fouace [Hindi] भाखा [French] apophase [French] apophase [Ligurian] fêugo [Galician] Zanfoga [Badui] ᮘᮞ [Sundanese] ᮘᮞ [Cebuano] puygo [Greek] αμπλαούμπλας [Sardinian] fogu [Galician] fogaza [Javanese] ꦧꦱ [Occitan] fòc [Nyah Kur] พาซา [Urak Lawoi'] พาซา [Kabuverdianu] bandoná [Kabuverdianu] bandonâ [Kabuverdianu] bandona [Papiamentu] bandona [Lombard] fögh [Sindhi] ڀاشا [Ternate] bahasang [Extremaduran] hueu [Silesian] fachlować [Balinese] ᬪᬵᬱ,*bʰeh₂-,,145,23
[Yola] aam [English] am [Middle English] am,*awos,,3,24
[Yola] aam [Italian] essere [Sardinian] essere [Tarantino] essere [Bourbonnais-Berrichon] être [French] être [French] être [Lorrain] être [English] am [Middle English] am [Romagnol] es [Catalan] ser [Portuguese] ser [Spanish] ser [Corsican] esse [Gallurese] esse [Neapolitan] esse [Piedmontese] esse [Walloon] esse [French] suis [Italian] sono [Greek] είμαι [Spanish] soy [Leonese] sou [Portuguese] sou [Romanian] fi [Ladin] ester [Old French] sui [Sardinian] essi [Neapolitan] èssere [Sardinian] èssere [English] essive [Interlingua] esser [Old Occitan] esser [Romansch] esser [Leonese] sere [Romanian] sunt [Finnish] essiivi [Mariupol Greek] ими [Catalan] ésser [Westrobothnian] öm [Franco-Provençal] estre [Middle French] estre [Old French] estre [Swedish] äm [Armenian] եմ [Czech] esence [Sicilian] èssiri [Occitan] èsser [Aromanian] escu [Emilian] èser [Venetian] èser [Venetian] èsare [Picard] ète [Megleno-Romanian] săm [Dalmatian] saite [Friulian] jessi [Romansch] easser [Istriot] ièsi [Bourguignon] étre [Franc-Comtois] étre [Franco-Provençal] étre [Venetian] l'è [Gallo] ête [Norman] ête [Ligurian] êse [Gallo] étr [Emilian] êser [Gallo] estr [Sassarese] assé [Lombard] vésser,*h₁ésmi,,71,25
