input,output,meaning,num_cognates,cognate_set_id
[English] month [Indonesian] meter [Manx] moo [English] meal [Irish] mó [Old Irish] mó [Latin] meta [Albanian] mas [Latin] nimis [Old English] mæl [Ancient Greek] μέτρον [Dutch] maal [Sanskrit] मान [Hungarian] mér [Scottish Gaelic] mò [Portuguese] medir [Spanish] medir [Welsh] mwy [Persian] مات [Polish] miara [Serbo-Croatian] мјера [Latin] metior [Italian] meda [Latvian] mēness [Polish] śmieć [Sanskrit] मात्रा [Sanskrit] मा [Konkani] मेज्चे [Marathi] मोजणे [Old Marathi] मेजणे [Ancient Greek] μῆτις [Old Marathi] 𑘦𑘹𑘕𑘜𑘹,*meh₁-,,32,18
[English] brown [English] bear [English] berry [English] Bern [French] barre [English] berserk [English] berserker [Dutch] boren [Middle Dutch] boren [Old Norse] berja [Albanian] bie [Latin] foro [Lithuanian] burna [Czech] bort [Italian] ferire [Lower Sorbian] broń [Galician] buraco [Latin] ferio [Lithuanian] barnis [Persian] بور [Ancient Greek] φάρος [Old Armenian] բորենի [Scottish Gaelic] beàrn [Portuguese] ferida [Ladino] burako [Albanian] birë [Portuguese] brejo [Lithuanian] biržė [Lithuanian] barti [Albanian] brimë [Welsh] brwydr [Ancient Greek] πέρθω [Alemannic German] Bärn [Old Irish] bríathar [English] braird [Latin] ferentarius [Irish] bearna [Old Armenian] բիր [Ancient Greek] φρύνη [Latvian] bȩ̃rs [Marshallese] būrawūn,*bʰerH-,,41,19
[English] may [English] magic [English] main [Ancient Greek] μηχανή [English] dismay [English] Magi [German] mögen [Russian] мочь [English] amain [Russian] может быть [Russian] помочь [Ancient Greek] Μάγος [Ancient Greek] μῆχος [Old Irish] smacht [Old Church Slavonic] мощи [Old Norse] úmagi [Sanskrit] मघ,*megʰ-,,17,20
[English] June [Latin] iuvenis [Baluchi] جوان [Persian] جوان [Urdu] جوان [Sanskrit] युवन् [Northern Kurdish] ciwan [Zazaki] ciwan [Latvian] jauns [Sicilian] giùvini [Indonesian] yuwana [Sudovian] iaunis,*h₂yéwHō,,12,21
[English] June [Indonesian] Juni [Old Norse] ey [Sanskrit] आयु [Albanian] javë [Italian] evo [Scots] Juin [Persian] جور [Ancient Greek] ἄν [Gothic] 𐌰𐌹𐍅𐍃 [Old Armenian] յաւէժ [Sanskrit] आयुस्,*h₂óyu,,12,22
[English] august [Albanian] ag [Tocharian B] oko [English] eke [English] eke [Latin] augur [Norwegian Bokmål] og [Old English] eacan [Ancient Greek] αὐξάνω [Irish] uasal [Scottish Gaelic] uasal [Swedish] öka [Danish] vokse [Faroese] eyka [Ancient Greek] αὐγή [Persian] اوج [Greek] αυγή [English] ean [Gothic] 𐌰𐌿𐌺 [Latvian] augt [Lithuanian] augti [Pali] ugga [Lithuanian] aukštas [Danish] øge [Arabic] أوج [Tocharian B] auk- [Sanskrit] ओजोदा [Norwegian Bokmål] Troms og Finnmark [Sudovian] augd [Sanskrit] उक्षति,*h₂ewg-,,30,23
[English] September [Indonesian] September [Malay] September [English] seven [Catalan] set [Romansch] set [Walloon] set [Greek] επτά [Latin] septem [French] sept [Norman] sept [Corsican] sette [Italian] sette [Dutch] zeven [Zealandic] zeven [Spanish] siete [Indonesian] hepta- [Slovak] sedem [Slovene] sedem [Norwegian Bokmål] sju [Swedish] sju [Romansch] seat [Yiddish] זיבן [Welsh] saith [Northern Kurdish] heft [Russian] семь [Icelandic] sjö [Serbo-Croatian] sedam [Serbo-Croatian] седам [Aragonese] semana [Cebuano] semana [Chavacano] semana [German] sieben [Danish] syv [Portuguese] sete [Sardinian] sete [Ancient Greek] ἑπτά [Romanian] șapte [West Frisian] sân [Norwegian Nynorsk] sjau [Old Norse] sjau [Breton] seizh [Hindi] सात [Polish] siedem [Czech] sedm [Faroese] sjey [Persian] هفت [Romansch] siat [Istro-Romanian] șåpte [Old Church Slavonic] седмь [Tocharian B] ṣukt [Tocharian A] ṣpät [Urdu] سات [Scottish Gaelic] seachd [Afrikaans] sewe [Kashubian] sétmë [Gothic] 𐍃𐌹𐌱𐌿𐌽 [Sanskrit] सप्तन् [Middle Welsh] seith [Irish] seacht [Occitan] sèt [German Low German] sæben [Old Armenian] եօթն [Lithuanian] septyni [Assamese] সাত [Bengali] সাত [Ido] sep [Manx] shiaght [Middle Irish] secht [Old Irish] secht [Cornish] seyth [Old Swedish] siu [Macedonian] седум [Bulgarian] седем [Belarusian] сем [Gaulish] sextam [Punjabi] ਸੱਤ [Latgalian] septeni [Pali] satta [Ukrainian] сім [Ligurian] sètte [German Low German] sëwe [Pashto] اووه [Telugu] సప్తము [Malay] sapta [Central Kurdish] حەوت [Lower Sorbian] sedym [Upper Sorbian] sydom [Old Polish] siedm [Mansi] са̄т [Aromanian] shapti [Emilian] sêt [Judeo-Tat] хьэфд [Gujarati] સાત [Kachchi] સાત [Central Franconian] sibbe [Sylheti] ꠢꠣꠔ [Avestan] 𐬵𐬀𐬞𐬙𐬀 [Old Prussian] septmas [Kashmiri] سَتھ [Norwegian Nynorsk] sjaug [Indonesian] sapta- [Old Ruthenian] семъ,*septḿ̥,,103,24
[Luxembourgish] A [Old Frisian] age [Norman] u [German] Auge [Norman] yi [Afrikaans] oog [Dutch] oog [Swedish] öga [West Frisian] each [Italian] occhiali [Danish] øje [Bulgarian] око [Macedonian] око [Old Church Slavonic] око [Old East Slavic] око [Russian] око [Rusyn] око [Serbo-Croatian] око [Ukrainian] око [Czech] oko [Old Czech] oko [Polish] oko [Serbo-Croatian] oko [Slovak] oko [Slovene] oko [Pali] akkhi [German] Aug [Gutnish] auga [Icelandic] auga [Norwegian Nynorsk] auga [Old Norse] auga [Esperanto] okulo [Ido] okulo [Norwegian Bokmål] øye [Urdu] آنکھ [Bundeli] आँख [Hindi] आँख [Faroese] eyga [Romansch] îl [Norwegian Bokmål] akt [Gothic] 𐌰𐌿𐌲𐍉 [Belarusian] вока [Lower Sorbian] woko [Upper Sorbian] woko [Lithuanian] akis [Samogitian] akis [Ancient Greek] ὁράω [Kashubian] òkò [Northern Kurdish] enî [Italian] occhiale [Old Armenian] ակն [Old French] ueil [Pennsylvania German] Aag [Romansch] egl [Walloon] ouy [Old Occitan] olh [Latvian] akls [Vilamovian] aojg [Romansch] ögl [Romansch] îgl [Old High German] ouga [Norman] ieil [Gallo] uélh [Slovincian] vʉɵ̯kɵ [Ancient Greek] ὄμμα [Gujarati] આંખ [Ancient Greek] ὄσσομαι [Ancient Greek] ὀπή [Zealandic] oôge [Ancient Greek] ὄπις [Ancient Greek] ὄπεας [Greek] κιάλι [Kashmiri] ॳछ [Tocharian B] ekṣalye [Tocharian A] opṣäly,*h₃ekʷ-,,75,25
[Scots] A [Dutch] ik [German Low German] ik [Middle English] ik [North Frisian] ik [Old Frisian] ik [Old Saxon] ik [West Frisian] ik [Albanian] mi [Sardinian] eo [Leonese] you [Breton] me [Romansch] ia [Danish] jeg [Norwegian Bokmål] jeg [English] ich [Central Franconian] ich [Crimean Gothic] ich [German] ich [Hunsrik] ich [Swedish] jag [Albanian] ne [Old Portuguese] eu [Portuguese] eu [Romanian] eu [Romansch] eu [Sassarese] eu [Latgalian] es [Romansch] jeu [French] je [Lower Sorbian] ja [Polish] ja [Serbo-Croatian] ja [Slovak] ja [Upper Sorbian] ja [Romansch] eau [Faroese] eg [Icelandic] eg [Norn] eg [Norwegian Nynorsk] eg [Belarusian] я [Russian] я [Rusyn] я [Ukrainian] я [Icelandic] ek [Old Norse] ek [Aromanian] io [Istro-Romanian] io [Italian] io [Indonesian] ego [Latin] ego [Greek] εγώ [Pontic Greek] εγώ [Spanish] yo [Indonesian] eke [Sanskrit] अहम् [Catalan] jo [Catalan] jo [Friulian] jo [Silesian] jo [Northern Kurdish] ez [Old Irish] mé [Domari] ama [Sardinian] deo [English] I [Middle English] I [Norwegian Nynorsk] I [Scots] I [Icelandic] ég [German] icke [Old English] ic [Old Saxon] ic [English] utchy [Serbo-Croatian] ја [Old Armenian] ես [Romansch] jou [Dogri] मैं [Hindi] मैं [Kumaoni] मैं [Old Hindi] मैं [Hindi] हम [Romansch] jau [Old High German] ih [Ancient Greek] ἐγώ [Albanian] mua [Bulgarian] аз [Old Novgorodian] ѧ [Manx] mee [Yiddish] איך [Assamese] আমি [Bengali] আমি [Kamta] আমি [Yevanic] אגו [German] ick [Low German] ick [Serbo-Croatian] jaz [Slovene] jaz [Old Church Slavonic] азъ [Lithuanian] aš [Old Persian] 𐎠𐎭𐎶 [Kashubian] jô [Tocharian A] ñuk [Macedonian] јас [Carian] 𐊲𐊼 [Pashto] زه [Old Armenian] իմ [Old Armenian] իմ [Gothic] 𐌹𐌺 [Albanian] në [Elfdalian] ig [Venetic] 𐌌𐌄𐌙𐌏 [Old Swedish] iak [Proto-Norse] ᛖᚲ [Walloon] dji [Ancient Greek] ἐμός [Old East Slavic] ꙗзъ [Assamese] মই [Early Assamese] মই [Jersey Dutch] äk [Ancient Greek] ἐμέ [Old Danish] iegh [Sanskrit] अस्माक [Marathi] आम्ही [Old Novgorodian] ѧꙁо [Punjabi] ਅਸੀਂ [Hittite] 𒌑𒊌 [Konkani] हांव [Faliscan] 𐌄𐌒𐌏 [Bengali] আঁই [Awadhi] मइ [Ashokan Prakrit] 𐨀𐨀𐨎 [Ashokan Prakrit] 𐨀𐨱𐨎 [Bundeli] मै [Avestan] 𐬀𐬰𐬇𐬨 [Bengali] হামি [Tsakonian] εζού [Sanskrit] मया [Dhivehi] މަ [Corsican] eiu [Kholosi] māy [Venetic] 𐌄𐌙𐌏 [Silesian] jŏ [Bengali] মুই [Ossetian] ӕз,*éǵh₂,,144,26
[English] October [English] eight [Latin] octo [French] huit [Norman] huit [Dutch] acht [German] acht [West Frisian] acht [Zealandic] acht [Central Franconian] ach [English] octagon [Cornish] eth [Spanish] ocho [Swedish] åtta [Ido] ok [Yiddish] אַכט [Welsh] wyth [Romanian] opt [Slovak] osem [Slovene] osem [Russian] восемь [Indonesian] Oktober [Old High German] ahto [Old Saxon] ahto [Serbo-Croatian] osam [Serbo-Croatian] осам [Faroese] átta [Icelandic] átta [Old Norse] átta [Old English] eahta [Norwegian Nynorsk] åtte [Danish] otte [Sardinian] oto [Catalan] vuit [Breton] eizh [Old Armenian] ութ [Hindi] आठ [Portuguese] oito [Urdu] آٹھ [Polish] osiem [Malay] asta [Ancient Greek] ὀκτώ [Czech] osm [Aromanian] optu [Old Church Slavonic] осмь [Old Swedish] atta [Tocharian A] okät [Tocharian B] okt [Scottish Gaelic] ochd [Afrikaans] agt [Kashubian] òsmë [Corsican] ottu [Irish] ocht [Old Irish] ocht [Persian] هشت [Tajik] ҳашт [Ossetian] аст [Crimean Gothic] athe [Lithuanian] aštuoni [Bengali] আট [Macedonian] осум [Manx] hoght [Greek] οκτώ [Middle Dutch] achte [Bulgarian] осем [Sinhalese] අට [Belarusian] восем [Ukrainian] вісім [Luxembourgish] aacht [Gothic] 𐌰𐌷𐍄𐌰𐌿 [Pashto] اته [Baluchi] ہشت [Telugu] అష్ట [Aragonese] ueit [Aragonese] ueito [Sanskrit] अष्ट [Central Kurdish] ھەشت [Northern Kurdish] heşt [Zazaki] heşt [Lower Sorbian] wósym [Upper Sorbian] wosom [Upper Sorbian] wósom [Bactrian] αταο [Vilamovian] aocht [Emilian] ôt [Pali] aṭṭha [Gujarati] આઠ [Traveller Norwegian] åkta [Kalasha] aṣṭ [Kashmiri] ٲٹھ [Konkani] आट [Assamese] আঠ [Ligurian] éutto [Scots] aicht [Middle English] eighte [Avestan] 𐬀𐬱𐬙𐬀 [Old Prussian] asmus [Vaghri] અઠ્ઠ [Aragonese] güeito [Khowar] اوݰٹ [Fijian] Okotova [Latgalian] ostoni [Sanskrit] अष्टम [Avestan] 𐬀𐬱𐬙𐬆𐬨𐬀 [Bengali] আষ্ট [Indonesian] asta- [Gaulish] oxtu,*oḱtṓw,,107,27
[English] November [Indonesian] November [Malay] November [English] nine [Scots] nine [Ido] non [Greek] εννέα [Danish] ni [Norwegian Bokmål] ni [Latin] novem [Corsican] nove [Galician] nove [Italian] nove [Portuguese] nove [French] neuf [Norman] neuf [Dutch] negen [Middle Dutch] negen [Aragonese] nou [Catalan] nou [Spanish] nueve [Old Swedish] nio [Swedish] nio [Yiddish] נײַן [Cornish] naw [Welsh] naw [Romansch] nov [Breton] nav [Slovak] deväť [Russian] ноябрь [Tocharian A] ñu [Tocharian B] ñu [Russian] девять [Serbo-Croatian] devet [Slovene] devet [Bulgarian] девет [Serbo-Croatian] девет [English] ennead [Icelandic] níu [Old Norse] níu [German] neun [Old English] nigon [Pashto] نه [Persian] نه [Irish] naoi [Scottish Gaelic] naoi [Romanian] nouă [Northern Kurdish] neh [Hindi] नौ [Polish] dziewięć [West Frisian] njoggen [Faroese] níggju [Ancient Greek] ἐννέα [Baluchi] نو [Urdu] نو [Czech] devět [Latgalian] deveni [Old Church Slavonic] девѧть [Old Ruthenian] девѧть [Kashubian] dzewiãc [Sardinian] noe [Sanskrit] नवन् [Lithuanian] devyni [Bengali] নয় [Afrikaans] nege [Malay] nawa [Gujarati] નવ [Manx] nuy [Old Irish] noí [Greek] εννιά [Umbrian] 𐌍𐌖𐌅𐌉𐌌 [Assamese] ন [Latvian] deviņi [Belarusian] дзевяць [Ukrainian] дев'ять [Gothic] 𐌽𐌹𐌿𐌽 [Romansch] nouv [Aragonese] nueu [Aromanian] noauã [Middle English] nyne [Central Kurdish] نۆ [Lower Sorbian] źewjeś [Upper Sorbian] dźewjeć [Old Persian] 𐎴𐎺𐎶 [Marathi] नऊ [Konkani] णव [Ligurian] nêuve [Cebuano] nuybe [Avestan] 𐬥𐬀𐬎𐬎𐬀 [Old Prussian] newīnts [Kashmiri] نَو [Assamese] নউ [Kashubian] dzewińc [Sanskrit] नवम [Avestan] 𐬥𐬀𐬊𐬨𐬀 [Indonesian] nawa- [Polish] dziewiątka [Old Prussian] newīnjai,*h₁néwn̥,,98,28
[English] verb [Ido] vorto [Norwegian Bokmål] ord [Norwegian Nynorsk] ord [Swedish] ord [Faroese] orð [Icelandic] orð [Old Norse] orð [Ido] verbo [Italian] verbo [Portuguese] verbo [Spanish] verbo [Lithuanian] vardas [Yiddish] ווערב [Persian] ورد [Norman] vèrbe [Gutnish] ård,*werdʰo-,,17,29
[English] hour [German] Uhr [Latin] hora [Portuguese] hora [Old High German] jar [Old Saxon] jar [Faroese] ur [Swedish] ur [Swedish] år [French] heure [Marshallese] awa [Pohnpeian] awa [Afrikaans] jaar [Dutch] jaar [Venetian] óra [Cebuano] oras [Tsakonian] ούρα [Greek] ώρα [Hebrew] ירדן [Irish] uair [Scottish Gaelic] uair [Middle Dutch] jaer [Middle Irish] úar [Old Irish] úar [Sanskrit] यातु [Manx] oyr [West Flemish] joar [Limburgish] jaor,*yeh₁-,,28,30
[English] trade [Sanskrit] द्राति [Middle Armenian] արտորալ,*drā-,,3,31
[Galician] trade [English] throw [English] trout [English] turn [Latin] trio [Breton] tor [English] terse [English] threshold [Latin] tero [Welsh] taro [Dutch] draaien [English] truant [English] dreidel [Latin] tornus [English] derma [Galician] tornar [Middle English] turnen [Spanish] destornillador [Ancient Greek] τρώγω [Icelandic] þráður [English] detritivore [Portuguese] trado [Serbo-Croatian] trti [Ancient Greek] τρίβω [Galician] tranca [Portuguese] tranca [Spanish] tranca [Serbo-Croatian] трти [Russian] тереть [Latin] tribulum [Latin] tarmes [Scots] thrashel [Irish] tairne [Irish] tarr [Yiddish] דרייען [Lower Sorbian] trěś [Ancient Greek] τιτρώσκω [Latin] tructa [Polish] trzeć [Middle Dutch] drayen [Spanish] desatornillar [Galician] trangallo [Ancient Greek] τόρμος [Ancient Greek] τόρνος [Scots] thraw [Swedish] tröska [Middle English] threschald [Ancient Greek] τείρω [Ancient Greek] πολύτρητος [Kashubian] trzéc [Lithuanian] tirti,*terh₁-,,51,32
[English] deal [English] deal [Polish] deal,*dʰail-,,3,33
[English] head [Norwegian Bokmål] cappella [Latin] caput [Latin] cappa [Gothic] 𐌷𐌰𐌿𐌱𐌹𐌸 [North Frisian] Haur,*káput-,,6,34
[English] ab- [Indonesian] ab- [Dutch] van [English] off [Old Portuguese] abrir [Portuguese] abrir [English] apo- [Indonesian] apo- [Norwegian Nynorsk] apo- [Mycenaean Greek] 𐀀𐀢 [Sanskrit] अप- [Old Persian] 𐎠𐎱 [English] apricate [Zazaki] apê [Irish] apa-,*h₂epo,,15,35
[Manx] fa [English] Odin [English] Vatican [Sanskrit] वात [English] vates [Irish] fáth [Old Irish] fáth [Spanish] Odín [Old Norse] óðr [Old Armenian] գութ [Persian] انفست [Gaulish] uatis [Polish] Odyn [Russian] Один,*weh₂t-,,14,36
